group,mean_r,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20
0,0.029219358357979213,0.03427523833096324,0.041490153680207344,0.03618000288400466,0.029740128620992345,0.027682508489979416,0.025214995345759647,0.014560779116624987,0.023479184506553178,0.03908138568235868,0.040304564955653634,0.01940800852680167,0.030206159851877704,0.021250711975879383,0.018787780878828188,0.035013383116012924,0.029335148946003677,0.03379181368650135,0.02354586724873307,0.020885102397239126,0.040154248918609955
0,0.030837368346853737,0.03249512332824911,0.0505021047007453,0.014915693596097764,0.012937802376019797,0.020087556174741804,0.03658626919177318,0.025797492358338378,0.017615015357099043,0.014651436855410172,0.03969563484828062,0.02753718740968402,0.029339896098467152,0.05552936727640675,0.024697418860587933,0.027620495945082937,0.03548585068770235,0.03526729190870412,0.03335379438831321,0.036854968407528,0.04577696716784315
0,0.03049591564550628,0.028115258701750228,0.021076545226103333,0.013668590796914785,0.03465683953359211,0.0394408965131601,0.024566017754302845,0.05260480680749626,0.04074407993562205,0.024659695801249784,0.02213048579855512,0.04950925169825974,0.02388260010946718,0.02408601101778734,0.025324565824568872,0.04227170055626166,0.0531407105233674,0.02363503821563099,0.022762574517011868,0.03189933745849653,0.011743306120527288
0,0.027670495828525064,0.024509818502992352,0.016844273595642785,0.055767782167869116,0.02848957976697109,0.015115627116530472,0.03575096831280087,0.00884837962614218,0.046453902994513005,0.006281041554470457,0.0024163264841672964,0.03264435486006307,0.04236089880331123,0.03077602470040912,0.016557106996249488,0.038890353562197326,0.022574852746588932,0.03542867024592681,0.04085198322427514,0.030542152830363746,0.02230581847901686
0,0.03111858052435192,0.053890601529415924,0.03330546682815245,0.023917336790674162,0.03287268110229901,0.020497244169990523,0.03796984459851885,0.028021473602810845,0.03506742982990318,0.04314219387422737,0.025560597295738192,0.03866595589361302,0.01275997527992423,0.017442817858797664,0.027685121931654746,0.0393946838881179,0.056400424006132155,0.022505946906849934,0.03970950441115814,0.01630327061645983,0.017259040072600276
1,0.03902429603331044,0.058381892479512136,0.02848733432794705,0.08341770605207738,0.055160014069090005,0.07568833801321191,0.0665566726434713,0.08090143518308782,0.06260673334406958,0.04035343973140779,-0.00449149830363222,0.02144657209754778,-0.028831604388340683,0.053812133005884666,-0.021801146073645347,0.08009533416908926,0.0013144113365395338,0.029554379873316845,0.019490759988468467,0.057876548231006505,0.020466464886098816
1,0.03351340508147692,0.022877319692333732,0.04746306981236064,0.010508703431863425,0.04225576232249042,0.03644633249030079,0.03987676037458701,0.062019806085093734,0.045234190854951395,0.08307494024007475,-0.0005014019343022383,0.013477550883858082,0.02510443143680338,0.039502064033812005,0.04797353528702265,0.04133577550609558,0.047383185057622026,0.013986790370511256,0.01856421943766012,0.0075280390196155525,0.02615702722678422
1,0.036703436659845365,0.08942867898812357,0.07488235514508668,0.014307524790380593,0.023559180753310895,0.005002645422338359,0.031200260331911187,0.042155065546879596,0.02022214700163947,0.036446756857223685,0.020169843558183274,0.0322736241775468,0.044194125111544046,0.04881675901166469,0.040154535754281705,0.07015542560126212,-0.0017687300813335124,0.06524917264355048,0.04004103745543277,-0.007876626140671028,0.04545495126855206
1,0.03064265917974992,0.04204429778119123,0.012596478020402733,-0.01612560856214388,0.05586152849518008,-0.01500300116485169,-0.014829067636547462,0.031347034655648275,-0.004885101558395326,0.024739351998670167,0.05500039184068644,0.06548082431569727,0.06907836612530283,0.020369428451282458,0.05820669040362224,0.023847390049422063,0.049327938257610955,0.05065090546798599,0.033404829069678586,0.06547184182651722,0.0062686657580381805
1,0.030933036320497754,0.03048501779058669,0.04768581164584143,0.039206859187632746,0.03725209973094208,0.06622229134346669,0.05226096509998207,-0.02291093196961421,0.009830348481378062,0.056350502677976075,0.035174857734386174,0.024639624849576745,0.008660008386465037,-0.025550547887099574,0.042023778877976474,0.0614084757283759,0.018144880876807323,0.04691769132576466,0.04779519974486248,-0.01128736156107659,0.05435115434572483
